Webmapper code,Webmapper numeric code,ccode,country name,start year,end year,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
cshapes/1497,1497,191,Croatia,1992,2012,,,,,,,1709.432124,1843.336094,1993.511329,2340.381087,2225.664719,2624.668913,2675.098935,2897.003801,3163.669344,3374.007635,3439.88107,3782.626438,4114.873398,4209.314503,4485.431864,4608.820184,4787.54024,5125.400444,5463.635529,5878.217577,6013.53089,6224.391562,6735.119981,6900.649415,7160.955021,7732.69834,8281.942774,8737.472707,8861.422233,8921.518622,8847.365243,8662.320386,8821.058637,8811.931186,9036.536594,9016.359639,8917.030548,8743.660688,8122.860779,6792.170294,6051.388272,5363.519252,5667.411491,6027.076893,6638.436573,6965.92515,7252.656416,7111.078384,7391.374285,7827.549027,8259.433526,8702.758674,9071.719604,9460.70167,9915.467467,10473.1991,10724.55588,9984.234095,9849.493471
cshapes/1584,1584,748,Swaziland,1968,2012,,,,,721,745,751,762,787,793,803,814,817,843,935,1028,1214,1252,1399,1577,1602,1709,1588,1612,2036,2015,2201,2258,2443,2462,2472,2473,2462,2421,2397,2481,2548,2474,2437,2497,2494,2607,2429,2478,2434.954828,2385.016155,2324.067122,2329.321272,2394.622574,2467.037336,2499.391162,2535.832624,2564.364718,2609.579973,2630.322145,2646.877638,2700.242155,2751.711124,2803.620897,2864.982117,2953.357024,3065.134776,3150.20898,,
nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cshapes/1539,1539,498,Moldova,1991,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,5365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cshapes/1414,1414,882,Samoa,1976,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cshapes/1581,1581,454,Malawi,1964,2012,,,,,324,332,339,347,355,354,376,383,388,393,394,404,393,376,359,397,426,455,437,453,447,498,534,562,582,586,591,603,637,646,630,580,567,573,580,606,587,568,547,542,539.6251147,563.9981977,503.43866,542.4712358,494.7579562,566.275941,607.2369309,628.6049667,617.2511697,621.2044696,608.7993927,567.8145437,562.0830441,577.5638253,593.5130787,592.8813139,589.2289364,628.0613802,662.246941,702.6231882,728.2376819
cshapes/1628,1628,818,Egypt,1979,2012,,,,,910,905,900,894,889,885,905,925,947,969,991,1031,1074,1120,1166,1213,1192,1151,1146,1201,1254,1283,1284,1294,1317,1421,1606,1767,1844,1930,2069,2076,2223,2322,2390,2471,2460,2465,2510,2528,2522.79246,2531.772188,2505.135795,2543.67469,2614.984868,2695.713135,2788.776205,2890.288265,3041.571609,3158.486702,3257.769534,3300.866061,3333.457651,3366.721519,3430.086368,3507.693109,3669.00209,3847.23282,4037.70757,4140.679545,4266.958116
nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cshapes/1415,1415,776,Tonga,1999,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cshapes/1413,1413,862,Venezuela,1946,2012,5947.824848,6893.605931,7394.128875,7543.578073,7461.959519,7663.18703,7991.811114,7956.457398,8417.386109,8749.86245,9123.697731,10057.78594,9816.283401,9997.403576,9645.889496,9001.589738,9057.915176,9134.379736,9562.093853,9841.487428,9677.244786,9921.570017,10249.34707,10262.42278,10671.76228,10446.30622,10245.36264,10625.0423,10507.49958,10471.64782,10929.3544,11250.88245,11164.30729,10919.59055,10139.22774,9841.124259,9356.135288,8745.421112,8623.034425,8521.42511,8724.504032,8804.935651,9080.103995,8093.960539,8312.867848,8907.165898,9234.497971,9060.606192,8665.717285,8831.346698,8648.616441,9034.626461,8906.042979,8237.707881,8409.045344,8566.435314,7695.538193,6996.444959,8156.497871,8868.262445,9602.283957,10289.50876,10672.10831,10176.2483,9874.358774
