"ID","oldid","country","side_a","side_b","cow","incompatibility","terr","begin","end","type","identity","radius","confarea","landarea","confland","rel_scope","distance","maxdist","mindist","disper","pop2000","resource","mountain","forest","border","mindisx","lnmndist","confarex","ln_abs_scope","ln_land_area","lnpop","lnconpro","duration","distx","location","mountx","frstx","lnmountx","lnfrstx","diamond","diadist","gold","golddist","oil","oildist","roadpave","roadtot","pavetot","paveland","roadland","disxsqr","mndisxsq","stabilit","rulelaw","nocorrup","lnd100km","pop100km","lnd100cr","pop100cr","landlock","ciffob95","coastden","intden","densdiff"
182,119,"Congo/Zaire","Congo/Zaire","CNL",490,2,"",1964,1965,3,1,200,125,2267,6,6,1304,1504,1104,0.629999995231628,51,1,4,73,0,1104,7.00669527053833,125,4.82831382751465,7.72621250152588,3.93182563781738,0.624926328659058,2,1304,7.1731915473938,4,73,1.3862943649292,4.29045963287354,0,NA,1,193,0,NA,NA,157,NA,NA,6.92545223236084,1700416,1218816,-2.58999991416931,-2.15000009536743,-1.55999994277954,0,2,1,3,0,NA,77,19,58
183,NA,"Congo/Zaire","Congo/Zaire","FLNC",490,2,"",1977,1978,3,1,200,125,2267,6,6,1246,1446,1046,0.629999995231628,51,1,4,73,1,1046,6.95272874832153,125,4.82831382751465,7.72621250152588,3.93182563781738,0.624926328659058,2,1246,7.12769365310669,4,73,1.3862943649292,4.29045963287354,0,NA,0,NA,0,NA,NA,157,NA,NA,6.92545223236084,1552516,1094116,-2.58999991416931,-2.15000009536743,-1.55999994277954,0,2,1,3,0,NA,77,19,58
184,122,"Congo/Zaire","Congo/Zaire","Opposition militias",490,2,"",1967,1967,3,1,800,2010,2267,89,89,971,1771,171,0.629999995231628,51,1,4,73,1,171,5.14166355133057,2010,7.60588979721069,7.72621250152588,3.93182563781738,0.98442667722702,1,971,6.87832641601562,4,73,1.3862943649292,4.29045963287354,1,157,1,554,0,NA,NA,157,NA,NA,6.92545223236084,942841,29241,-2.58999991416931,-2.15000009536743,-1.55999994277954,0,2,1,3,0,NA,77,19,58
185,NA,"Congo/Zaire","Congo/Zaire","AFDL, Rwanda, Angola",490,2,"",1996,1997,4,1,1000,3140,2267,139,100,880,1880,0,0.629999995231628,51,1,4,73,1,1,0,3140,8.05197811126709,7.72621250152588,3.93182563781738,1.04216372966766,2,880,6.7799220085144,4,73,1.3862943649292,4.29045963287354,1,387,1,645,0,NA,NA,157,NA,NA,6.92545223236084,774400,1,-2.58999991416931,-2.15000009536743,-1.55999994277954,0,2,1,3,0,NA,77,19,58
186,NA,"Congo/Zaire","Congo/Zaire","RCD, RCD faction, MLC, Rwanda, Uganda",490,2,"",1998,2000,4,1,1000,3140,2267,139,100,880,1880,0,0.629999995231628,51,1,4,73,1,1,0,3140,8.05197811126709,7.72621250152588,3.93182563781738,1.04216372966766,3,880,6.7799220085144,4,73,1.3862943649292,4.29045963287354,1,387,1,645,0,NA,NA,157,NA,NA,6.92545223236084,774400,1,-2.58999991416931,-2.15000009536743,-1.55999994277954,0,2,1,3,0,NA,77,19,58
190,125,"Congo","Congo-Brazzaville","FDU",484,2,"",1997,1997,4,0,50,10,342,3,3,0,50,0,0.800000011920929,3,0,0,58,1,1,0,10,2.30258512496948,5.83481073379517,1.0986123085022,0.394628942012787,1,5,1.60943794250488,1,58,0,4.06044292449951,0,NA,0,NA,0,NA,1.20000004768372,12.8000001907349,9.375,0.350877195596695,3.74269008636475,25,1,-1.83000004291534,-1.44000005722046,-0.600000023841858,5,18,5,18,0,1.23000001907349,29,7,22
191,126,"Congo","Congo-Brazzaville, Angola","Opposition militias",484,2,"",1998,1999,3,0,200,125,342,37,37,145,345,0,0.800000011920929,3,0,0,58,1,1,0,125,4.82831382751465,5.83481073379517,1.0986123085022,0.827501356601715,2,145,4.97673368453979,1,58,0,4.06044292449951,0,NA,0,NA,0,NA,1.20000004768372,12.8000001907349,9.375,0.350877195596695,3.74269008636475,21025,1,-1.83000004291534,-1.44000005722046,-0.600000023841858,5,18,5,18,0,1.23000001907349,29,7,22
200,128,"Costa Rica","Costa Rica","National Liberation Army",94,2,"",1948,1948,3,0,50,10,51,20,20,0,50,0,0.589999973773956,4,0,22,31,0,1,0,10,2.30258512496948,3.93182563781738,1.3862943649292,0.585627496242523,1,5,1.60943794250488,22,31,3.09104251861572,3.43398714065552,0,NA,0,NA,0,NA,7.80000019073486,37.2000007629395,20.9677410125732,15.2941179275513,72.9411773681641,25,1,0.910000026226044,0.550000011920929,0.579999983310699,100,100,100,100,0,NA,67,0,67
210,NA,"Croatia","Croatia","Serbian irregulars, Serbian Republic of Krajina, Yugoslavia",344,1,"Serb",1992,1995,4,1,100,30,56,54,54,200,300,100,NA,4,0,NA,NA,1,100,4.60517024993896,30,3.40119743347168,4.02535152435303,1.3862943649292,0.844944179058075,4,200,5.29831743240356,NA,NA,NA,NA,0,NA,0,NA,0,NA,23.3999996185303,27.7999992370605,84.1726608276367,41.7857131958008,49.6428565979004,40000,10000,0.409999996423721,0.150000005960464,-0.46000000834465,49,48,100,100,0,NA,82,88,-6
220,131,"Cuba","Cuba","Military faction",40,2,"",1953,1953,3,0,150,70,110,64,64,720,870,570,NA,11,0,NA,NA,0,570,6.34563636779785,70,4.24849510192871,4.70048046112061,2.39789533615112,0.903842747211456,1,720,6.57925128936768,NA,NA,NA,NA,0,NA,0,NA,0,NA,29.7999992370605,60.7999992370605,49.0131568908691,27.0909099578857,55.2727279663086,518400,324900,0.189999997615814,0.119999997317791,0.270000010728836,100,100,100,100,0,NA,100,0,100
221,NA,"Cuba","Cuba","Movimiento 26 De Julio: 26th of July Movement",40,2,"",1957,1958,3,0,500,785,110,714,100,368,868,0,NA,11,0,NA,NA,0,1,0,785,6.66568374633789,4.70048046112061,2.39789533615112,1.41808557510376,2,368,5.90808296203613,NA,NA,NA,NA,0,NA,0,NA,0,NA,29.7999992370605,60.7999992370605,49.0131568908691,27.0909099578857,55.2727279663086,135424,1,0.189999997615814,0.119999997317791,0.270000010728836,100,100,100,100,0,NA,100,0,100
222,134,"Cuba","Cuba","National Revolutionary Council",40,2,"",1961,1961,3,0,100,30,110,27,27,78,178,0,NA,11,0,NA,NA,0,1,0,30,3.40119743347168,4.70048046112061,2.39789533615112,0.723585069179535,1,78,4.35670900344849,NA,NA,NA,NA,0,NA,0,NA,0,NA,29.7999992370605,60.7999992370605,49.0131568908691,27.0909099578857,55.2727279663086,6084,1,0.189999997615814,0.119999997317791,0.270000010728836,100,100,100,100,0,NA,100,0,100
230,135,"Cyprus","Cyprus","Turkish Cypriots, Turkey",352,1,"Northern Cyprus",1974,1974,4,1,100,30,6,500,100,50,150,0,0.589999973773956,1,0,9,13,0,1,0,30,3.40119743347168,1.7917594909668,0,1.89824438095093,1,50,3.91202306747437,9,13,2.19722461700439,2.56494927406311,0,NA,0,NA,0,NA,7.5,13,57.6923065185547,125,216.66667175293,2500,1,0.379999995231628,0.930000007152557,1.80999994277954,NA,NA,NA,NA,0,NA,NA,NA,NA
240,136,"Djibouti","Djibouti","FRUD",522,2,"",1991,1994,3,0,50,10,23,43,43,103,153,53,0.860000014305115,1,0,4,1,1,53,3.97029185295105,10,2.30258512496948,3.13549423217773,0,0.734361171722412,4,103,4.63472890853882,4,1,1.3862943649292,0,0,NA,0,NA,0,NA,0.360000014305115,2.90000009536743,12.4137935638428,1.56521737575531,12.6086959838867,10609,2809,NA,-0.239999994635582,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
250,137,"Dominican Republic","Dominican Republic","Military faction",42,2,"",1965,1965,3,0,50,10,48,21,21,0,50,0,0.550000011920929,9,0,16,12,0,1,0,10,2.30258512496948,3.8712010383606,2.19722461700439,0.594798624515533,1,5,1.60943794250488,16,12,2.7725887298584,2.4849066734314,0,NA,0,NA,0,NA,6.19999980926514,12.6000003814697,49.2063484191895,12.9166669845581,26.25,25,1,0.119999997317791,0.379999995231628,-0.769999980926514,100,100,100,100,0,NA,162,0,162
