"ID","oldid","country","side_a","side_b","cow","incompatibility","terr","begin","end","type","identity","radius","confarea","landarea","confland","rel_scope","distance","maxdist","mindist","disper","pop2000","resource","mountain","forest","border","mindisx","lnmndist","confarex","ln_abs_scope","ln_land_area","lnpop","lnconpro","duration","distx","location","mountx","frstx","lnmountx","lnfrstx","diamond","diadist","gold","golddist","oil","oildist","roadpave","roadtot","pavetot","paveland","roadland","disxsqr","mndisxsq","stabilit","rulelaw","nocorrup","lnd100km","pop100km","lnd100cr","pop100cr","landlock","ciffob95","coastden","intden","densdiff"
322,177,"Georgia","Georgia","Anti-government alliance",372,2,"",1991,1992,3,0,150,70,70,100,100,154,304,4,0.610000014305115,5,0,61,43,0,4,1.3862943649292,70,4.24849510192871,4.24849510192871,1.60943794250488,1,2,154,5.03695249557495,61,43,4.11087369918823,3.76120018959045,0,NA,0,NA,0,NA,29.5,33.9000015258789,87.0206527709961,42.1428565979004,48.4285697937012,23716,16,-0.759999990463257,-0.490000009536743,-0.740000009536743,31,31,32,31,0,NA,79,77,2
323,178,"Georgia","Georgia","Zviadists",372,2,"",1993,1993,3,0,150,70,70,100,100,154,304,4,0.610000014305115,5,0,61,43,0,4,1.3862943649292,70,4.24849510192871,4.24849510192871,1.60943794250488,1,1,154,5.03695249557495,61,43,4.11087369918823,3.76120018959045,0,NA,0,NA,0,NA,29.5,33.9000015258789,87.0206527709961,42.1428565979004,48.4285697937012,23716,16,-0.759999990463257,-0.490000009536743,-0.740000009536743,31,31,32,31,0,NA,79,77,2
330,179,"Ghana","Ghana","Military faction",452,2,"",1966,1966,3,0,150,70,228,31,31,100,250,0,0.569999992847443,19,1,0,40,0,1,0,70,4.24849510192871,5.42934560775757,2.94443893432617,0.782505929470062,1,100,4.60517024993896,1,40,0,3.68887948989868,0,NA,1,81,0,NA,11.6000003814697,39.4000015258789,29.4416236877441,5.08771944046021,17.2807025909424,10000,1,-0.100000001490116,-0.00999999977648258,-0.300000011920929,19,43,19,43,0,1.07000005245209,168,53,115
331,180,"Ghana","Ghana","Military faction",452,2,"",1981,1981,3,0,50,10,228,4,4,0,50,0,0.569999992847443,19,1,0,40,0,1,0,10,2.30258512496948,5.42934560775757,2.94443893432617,0.424099922180176,1,5,1.60943794250488,1,40,0,3.68887948989868,0,NA,0,NA,0,NA,11.6000003814697,39.4000015258789,29.4416236877441,5.08771944046021,17.2807025909424,25,1,-0.100000001490116,-0.00999999977648258,-0.300000011920929,19,43,19,43,0,1.07000005245209,168,53,115
332,1180,"Ghana","Ghana","Military faction",452,2,"",1989,1989,3,0,NA,NA,228,NA,NA,NA,NA,NA,0.569999992847443,19,NA,0,40,NA,NA,NA,NA,NA,5.42934560775757,2.94443893432617,NA,1,NA,NA,1,40,0,3.68887948989868,NA,NA,NA,NA,NA,NA,11.6000003814697,39.4000015258789,29.4416236877441,5.08771944046021,17.2807025909424,NA,NA,-0.100000001490116,-0.00999999977648258,-0.300000011920929,19,43,19,43,0,1.07000005245209,168,53,115
340,181,"Greece","Greece","DSE",350,2,"",1946,1949,3,0,200,125,129,97,97,200,400,0,0.529999971389771,11,0,22,20,0,1,0,125,4.82831382751465,4.85981225967407,2.39789533615112,0.993518590927124,4,200,5.29831743240356,22,20,3.09104251861572,2.99573230743408,0,NA,0,NA,0,NA,107.400001525879,117,91.7948684692383,83.2558135986328,90.6976776123047,40000,1,0.209999993443489,0.5,0.829999983310699,93,97,93,97,0,1.12999999523163,85,37,48
350,183,"Guatemala","Guatemala","Forces of Carlos Castillo Armas",90,2,"",1954,1954,3,0,100,30,108,28,28,117,217,17,0.629999995231628,11,0,42,48,0,17,2.83321332931519,30,3.40119743347168,4.68213129043579,2.39789533615112,0.726420760154724,1,117,4.76217412948608,42,48,3.7376697063446,3.8712010383606,0,NA,0,NA,0,NA,4.30000019073486,13.8000001907349,31.1594200134277,3.98148155212402,12.777777671814,13689,289,-0.75,-1.11000001430511,-0.819999992847443,43,73,42,73,0,NA,169,46,123
351,184,"Guatemala","Guatemala","Military faction",90,2,"",1949,1949,3,NA,50,10,108,9,9,0,50,0,0.629999995231628,11,0,42,48,0,1,0,10,2.30258512496948,4.68213129043579,2.39789533615112,0.491781413555145,1,5,1.60943794250488,42,48,3.7376697063446,3.8712010383606,0,NA,0,NA,0,NA,4.30000019073486,13.8000001907349,31.1594200134277,3.98148155212402,12.777777671814,25,1,-0.75,-1.11000001430511,-0.819999992847443,43,73,42,73,0,NA,169,46,123
352,NA,"Guatemala","Guatemala","MR-13 , FAR , EGP , PGT , ORPA, URNG",90,2,"",1966,1995,3,1,200,125,108,116,100,162,362,0,0.629999995231628,11,0,42,48,1,1,0,125,4.82831382751465,4.68213129043579,2.39789533615112,1.03122138977051,30,162,5.08759641647339,42,48,3.7376697063446,3.8712010383606,0,NA,0,NA,0,NA,4.30000019073486,13.8000001907349,31.1594200134277,3.98148155212402,12.777777671814,26244,1,-0.75,-1.11000001430511,-0.819999992847443,43,73,42,73,0,NA,169,46,123
360,192,"Guinea","Guinea","Military faction",438,2,"",1970,1970,3,0,200,125,246,51,51,165,365,0,0.550000011920929,7,1,3,27,1,1,0,125,4.82831382751465,5.50533151626587,1.94591009616852,0.877025067806244,1,165,5.1059455871582,3,27,1.0986123085022,3.29583692550659,0,NA,0,NA,0,NA,5,30.5,16.3934421539307,2.03252029418945,12.3983736038208,27225,1,-1.03999996185303,-0.759999990463257,-0.850000023841858,14,27,17,30,0,NA,51,23,28
