"ID","conflict_name","ccode","cname","region","secession","battledeadbest","lnbdb","battledeadlow","lnbdl","battledeadhigh","lnbdh","pop","lnpop","dper100k","begin","end","duration","lnduration","rate","lnrate","cw","intervention","democ","lngdp","gdpsq","milper","milperpop","lnmilperpop","milex","milqual","lnmilqual","milq2","mountain","lnmountain","ethfrac","lnethfrac","relfrac","lnrelfrac","relpolar","ethnicpolar"
1010,"Bolivia (Popular Revolutionary Movement)",145,"BOL",2,0,1000,6.90775537490845,1000,6.90775537490845,1000,6.90775537490845,2858000,14.8656330108643,34.989501953125,1946,1946,1,0,1000,6.90775537490845,1,0,0,NA,NA,9,3.14905537379673e-06,-12.6684083938599,7052,783.555541992188,6.66384172439575,15.4508571624756,35.8999977111816,3.60821151733398,0.678132951259613,-0.388411909341812,0.0950000286102295,-2.35387802124023,0,1
1030,"Chinese Civil War",710,"CHN",4,0,1200000,13.9978322982788,1200000,13.9978322982788,1200000,13.9978322982788,548585984,20.1228542327881,218.744201660156,1946,1949,4,1.3862943649292,3e+05,12.6115379333496,1,1,0,5.4510383605957,13.6960105895996,4158,7.57948646423756e-06,-11.7900648117065,789300,189.826843261719,5.24611234664917,15.9164209365845,37.4000015258789,3.64805746078491,0.118452370166779,-2.13324427604675,0.550999999046326,-0.596020460128784,1,0
1040,"Greek Civil War",350,"GRC",5,0,154000,11.9447078704834,154000,11.9447078704834,154000,11.9447078704834,7223000,15.7927808761597,2132.078125,1946,1949,4,1.3862943649292,38500,10.5584135055542,1,1,1,6.69332361221313,11.8161659240723,120,1.66135960171232e-05,-11.0052890777588,95622,796.849975585938,6.68066644668579,15.4390850067139,21.7999992370605,3.12676048278809,0.0986450910568237,-2.31622672080994,0.0393999814987183,-3.23398995399475,0,0
1062,"Iran 1979-85",630,"IRN",6,0,10230,9.23307991027832,10230,9.23307991027832,10230,9.23307991027832,36617000,17.4160232543945,27.9378433227539,1979,1985,7,1.94591009616852,1461.42858886719,7.28716993331909,1,0,0,8.55217456817627,16.589599609375,350,9.55840187089052e-06,-11.5580902099609,9137992,26108.548828125,10.170018196106,20.0916900634766,38.3000030517578,3.67122459411621,0.756581664085388,-0.278944790363312,0.197799980640411,-1.62049901485443,1,1
1100,"Philippines (Huk Rebellion)",840,"PHI",4,0,9000,9.10497951507568,9000,9.10497951507568,9000,9.10497951507568,18434000,16.7297077178955,48.822826385498,1946,1954,9,2.19722461700439,1000,6.90775537490845,1,1,0,6.12905025482178,13.1473608016968,27,1.46468482853379e-06,-13.4338703155518,12488,462.518524169922,6.1366868019104,15.7159366607666,21.2999973297119,3.10458660125732,0.745177149772644,-0.294133305549622,0.299600005149841,-1.20530700683594,1,0
1101,"Philippines (NPA)",840,"PHI",4,0,24400,10.1023387908936,24400,10.1023387908936,24400,10.1023387908936,38655000,17.4701862335205,63.1224937438965,1972,1995,24,3.178053855896,1016.66668701172,6.9242844581604,1,1,0,7.26682758331299,11.0981550216675,58,1.50045275404409e-06,-13.409743309021,121429,2093.603515625,7.64664220809937,13.7237901687622,21.2999973297119,3.10458660125732,0.745177149772644,-0.294133305549622,0.299600005149841,-1.20530700683594,1,0
1130,"USSR vs. Lithuania",365,"RUS",5,1,8620,9.06184005737305,8620,9.06184005737305,8620,9.06184005737305,169491008,18.9483108520508,5.0858154296875,1946,1948,3,1.0986123085022,2873.33325195312,7.96322822570801,1,0,0,7.48829364776611,12.8334655761719,2500,1.47500450111693e-05,-11.1242647171021,8764724,3505.8896484375,8.16219997406006,12.2498512268066,14.1999988555908,2.72129535675049,0.666593015193939,-0.405575603246689,0.445599973201752,-0.8083336353302,1,1
1140,"USSR vs. Ukraine",365,"RUS",5,1,17769,9.78521060943604,17669,9.77956676483154,17969,9.79640293121338,169491008,18.9483108520508,10.4837417602539,1946,1950,5,1.60943794250488,3553.80004882812,8.17577266693115,1,0,0,7.48829364776611,12.8334655761719,2500,1.47500450111693e-05,-11.1242647171021,8764724,3505.8896484375,8.16219997406006,12.2498512268066,14.1999988555908,2.72129535675049,0.666593015193939,-0.405575603246689,0.445599973201752,-0.8083336353302,1,1
1180,"China (Taiwan 1947)",710,"SHN",4,1,1000,6.90775537490845,540,6.29156923294067,1000,6.90775537490845,553268992,20.1313552856445,0.180743902921677,1947,1947,1,0,1000,6.90775537490845,1,0,0,5.42053508758545,13.7108173370361,4158,7.5153316174692e-06,-11.798565864563,789300,189.826843261719,5.24611234664917,15.9164209365845,37.4000015258789,3.64805746078491,0.118452370166779,-2.13324427604675,0.550999999046326,-0.596020460128784,1,0
1220,"Paraguay 1947",150,"PAR",2,0,4000,8.29404926300049,4000,8.29404926300049,4000,8.29404926300049,1275000,14.0584564208984,313.725494384766,1947,1947,1,0,4000,8.29404926300049,1,0,0,6.93828439712524,9.93962860107422,4,3.1372549074149e-06,-12.6721620559692,3425,856.25,6.75256252288818,15.3856220245361,1.10000002384186,0.741937339305878,0.144922375679016,-1.93155705928802,0.180000007152557,-1.71479833126068,1,0
1230,"Burma/Myanmar Civil War",775,"MYA",4,1,75318,11.229474067688,75318,11.229474067688,75318,11.229474067688,18119000,16.7124710083008,415.685180664062,1948,2002,55,4.00733327865601,1369.41821289062,7.22214126586914,1,1,1,5.30826759338379,13.7607679367065,3,1.65572046739726e-07,-15.6138591766357,15130,5043.33349609375,8.52582263946533,15.1963520050049,35.6000022888184,3.60004830360413,0.475504875183105,-0.743378162384033,0.204200029373169,-1.58865523338318,0,1
