"ccode","begin","milqual","mountain","ethfrac","ethnicpolar","relpolar"
145,1946,783.555541992188,35.8999977111816,0.678132951259613,1,0
710,1946,189.826843261719,37.4000015258789,0.118452370166779,0,1
350,1946,796.849975585938,21.7999992370605,0.0986450910568237,0,0
630,1979,26108.548828125,38.3000030517578,0.756581664085388,1,1
840,1946,462.518524169922,21.2999973297119,0.745177149772644,0,1
840,1972,2093.603515625,21.2999973297119,0.745177149772644,0,1
365,1946,3505.8896484375,14.1999988555908,0.666593015193939,1,1
710,1947,189.826843261719,37.4000015258789,0.118452370166779,0,1
150,1947,856.25,1.10000002384186,0.144922375679016,0,1
775,1948,5043.33349609375,35.6000022888184,0.475504875183105,1,0
94,1948,1411,22.2000026702881,0.071090042591095,0,1
750,1996,7930.15869140625,12.9000005722046,0.886478185653687,1,1
732,1948,177.463775634766,8.90000057220459,0.00411750003695488,0,1
678,1948,NA,27.2000007629395,0.037243664264679,0,1
678,1962,7000,27.2000007629395,0.037243664264679,0,1
90,1965,1411.11108398438,42.0999946594238,0.643684148788452,1,1
710,1950,789.883239746094,37.4000015258789,0.118452370166779,0,1
710,1956,858.333312988281,37.4000015258789,0.118452370166779,0,1
710,1959,1852.31616210938,37.4000015258789,0.118452370166779,0,1
850,1950,1282.14501953125,10.5,0.764058351516724,1,0
800,1970,1083.49145507812,5.40000009536743,0.663652122020721,1,0
40,1957,3923.07690429688,4.44178438186646,0.0357236266136169,1,1
850,1953,1669.72998046875,10.5,0.764058351516724,1,0
850,1958,1884.47546386719,10.5,0.764058351516724,1,0
160,1955,7973.7041015625,28.399995803833,0.307319164276123,1,0
160,1973,3048.77856445312,28.399995803833,0.307319164276123,1,0
750,1956,1027.6982421875,12.9000005722046,0.886478185653687,1,1
645,1959,1356.40625,5.99999952316284,0.362471163272858,1,1
645,1991,6194.24462890625,5.99999952316284,0.362471163272858,1,1
660,1958,1982.88891601562,57.1000061035156,0.134805142879486,1,1
660,1975,6443.85009765625,57.1000061035156,0.134805142879486,1,1
812,1959,2.51999998092651,35.7999992370605,0.599656701087952,1,1
812,1963,475,35.7999992370605,0.599656701087952,1,1
530,1976,2502.39990234375,70.3999862670898,0.693593263626099,1,1
790,1997,1114.28576660156,73.6999893188477,0.699236869812012,1,0
645,1961,1604.51354980469,5.99999952316284,0.362471163272858,1,1
530,1962,672.444458007812,70.3999862670898,0.693593263626099,1,1
625,1963,1100.88891601562,6.50000047683716,0.735070288181305,1,1
625,1983,3641.8837890625,6.50000047683716,0.735070288181305,1,1
490,1964,800,4.19999980926514,0.901631832122803,1,1
490,1996,4625,4.19999980926514,0.901631832122803,1,1
490,1998,10266.6669921875,4.19999980926514,0.901631832122803,1,1
516,1995,1941.17651367188,74.4999847412109,0.0355106592178345,1,1
483,1965,893.5,8.5,0.82627284526825,1,1
483,1997,1000,8.5,0.82627284526825,1,1
100,1965,2165.65454101562,37.0999984741211,0.0601527094841003,1,1
42,1965,1947.36840820312,16.3999977111816,0.0369887948036194,1,0
850,1976,4596.84619140625,10.5,0.764058351516724,1,0
135,1980,4283.5361328125,47.6000022888184,0.589686512947083,1,1
817,1955,2231.30004882812,19.2000007629395,0.26371169090271,0,0
750,1966,1478.82788085938,12.9000005722046,0.886478185653687,1,1
652,1979,5295.88623046875,5.40000009536743,0.223094642162323,1,1
811,1967,652.325317382812,1,0.296923398971558,0,0
811,1978,NA,1,0.296923398971558,0,0
475,1967,2044.23327636719,2.40000033378601,0.868931770324707,1,1
520,1981,1812.83337402344,12.5999994277954,0.076742947101593,1,0
438,2000,5000,3.20000004768372,0.749607503414154,1,0
840,1970,2098.07275390625,21.2999973297119,0.745177149772644,0,1
770,1971,1541.88720703125,43.0000038146973,0.644509017467499,1,1
780,1971,1941.09997558594,7.30000019073486,0.467041432857513,1,1
780,1989,14590.9091796875,7.30000019073486,0.467041432857513,1,1
500,1978,5907.13037109375,9.39999866485596,0.899465322494507,0,1
500,1981,41681.66796875,9.39999866485596,0.899465322494507,0,1
500,1994,1135.71423339844,9.39999866485596,0.899465322494507,0,1
200,1971,15042.4052734375,0.800000011920929,0.325454533100128,1,1
92,1979,5345.45458984375,10.3000001907349,0.165918707847595,1,1
