"","country","year","gdp","growth"
"141","Liechtenstein",1999,NA,NA
"142","Norway",1999,25700,0.0982905982905984
"143","Switzerland",1999,26400,0.0232558139534884
"144","Former Yugoslav Republic of Macedonia",1999,4800,0.0666666666666667
"145","Serbia",1999,NA,NA
"146","Turkey",1999,7100,-0.0273972602739726
"147","United States",1999,29900,0.0640569395017794
"148","Japan",1999,21200,0.0192307692307692
"149","Belgium",2000,24000,0.095890410958904
"150","Bulgaria",2000,5400,0.102040816326531
"151","Czech Republic",2000,13500,0.0546875
"152","Denmark",2000,25000,0.0729613733905579
"153","Germany",2000,22400,0.037037037037037
"154","Estonia",2000,8600,0.131578947368421
"155","Ireland",2000,25100,0.120535714285714
"156","Greece",2000,16000,0.212121212121212
"157","Spain",2000,18500,0.0818713450292399
"158","France",2000,21900,0.0735294117647058
"159","Croatia",2000,9500,0.104651162790698
"160","Italy",2000,22300,0.0619047619047619
"161","Cyprus",2000,16700,0.0844155844155845
"162","Latvia",2000,6900,0.078125
"163","Lithuania",2000,7500,0.0869565217391304
"164","Luxembourg",2000,46500,0.0992907801418439
"165","Hungary",2000,10300,0.0842105263157895
"166","Malta",2000,16500,0.107382550335571
"167","Netherlands",2000,25500,0.094420600858369
"168","Austria",2000,25100,0.0680851063829788
"169","Poland",2000,9200,0.069767441860465
"170","Portugal",2000,15400,0.0620689655172413
"171","Romania",2000,5000,0.0638297872340425
"172","Slovenia",2000,15200,0.0555555555555556
"173","Slovakia",2000,9500,0.0555555555555556
"174","Finland",2000,22300,0.0931372549019607
"175","Sweden",2000,24300,0.0848214285714286
"176","United Kingdom",2000,22900,0.0801886792452831
"177","Iceland",2000,25000,0.0121457489878543
"178","Liechtenstein",2000,NA,NA
"179","Norway",2000,31400,0.221789883268483
"180","Switzerland",2000,28100,0.0643939393939394
"181","Former Yugoslav Republic of Macedonia",2000,5100,0.0625
"182","Serbia",2000,NA,NA
"183","Turkey",2000,8000,0.126760563380282
"184","United States",2000,31600,0.0568561872909699
"185","Japan",2000,22500,0.0613207547169812
"186","Belgium",2001,24500,0.0208333333333333
"187","Bulgaria",2001,5900,0.0925925925925926
"188","Czech Republic",2001,14400,0.0666666666666667
"189","Denmark",2001,25200,0.00800000000000001
"190","Germany",2001,22900,0.0223214285714286
"191","Estonia",2001,9200,0.069767441860465
"192","Ireland",2001,26200,0.0438247011952191
"193","Greece",2001,17100,0.0687500000000001
"194","Spain",2001,19400,0.0486486486486486
"195","France",2001,22800,0.0410958904109588
"196","Croatia",2001,10000,0.0526315789473684
"197","Italy",2001,23400,0.0493273542600896
"198","Cyprus",2001,17800,0.0658682634730539
"199","Latvia",2001,7600,0.101449275362319
"200","Lithuania",2001,8300,0.106666666666667
"201","Luxembourg",2001,46200,-0.00645161290322582
"202","Hungary",2001,11500,0.116504854368932
"203","Malta",2001,16100,-0.0242424242424243
"204","Netherlands",2001,26400,0.0352941176470589
"205","Austria",2001,24900,-0.00796812749003983
"206","Poland",2001,9400,0.0217391304347827
"207","Portugal",2001,15900,0.0324675324675325
"208","Romania",2001,5500,0.1
"209","Slovenia",2001,15800,0.0394736842105263
"210","Slovakia",2001,10300,0.0842105263157895
"211","Finland",2001,22700,0.0179372197309418
"212","Sweden",2001,24200,-0.00411522633744854
"213","United Kingdom",2001,23900,0.0436681222707425
"214","Iceland",2001,26100,0.044
"215","Liechtenstein",2001,NA,NA
"216","Norway",2001,31800,0.0127388535031847
"217","Switzerland",2001,28300,0.00711743772241991
"218","Former Yugoslav Republic of Macedonia",2001,5000,-0.0196078431372549
"219","Serbia",2001,NA,NA
"220","Turkey",2001,7400,-0.075
"221","United States",2001,31900,0.009493670886076
"222","Japan",2001,22700,0.00888888888888895
"223","Belgium",2002,25600,0.0448979591836736
"224","Bulgaria",2002,6500,0.101694915254237
"225","Czech Republic",2002,15000,0.0416666666666667
"226","Denmark",2002,26200,0.0396825396825398
"227","Germany",2002,23400,0.0218340611353711
"228","Estonia",2002,10200,0.108695652173913
"229","Ireland",2002,28200,0.0763358778625953
"230","Greece",2002,18400,0.0760233918128654
"231","Spain",2002,20600,0.0618556701030928
"232","France",2002,23600,0.0350877192982457
"233","Croatia",2002,11100,0.11
"234","Italy",2002,23000,-0.0170940170940171
"235","Cyprus",2002,18100,0.0168539325842696
"236","Latvia",2002,8400,0.105263157894737
"237","Lithuania",2002,9100,0.0963855421686748
"238","Luxembourg",2002,49000,0.0606060606060606
"239","Hungary",2002,12500,0.0869565217391304
"240","Malta",2002,16800,0.0434782608695652
"241","Netherlands",2002,27200,0.0303030303030303
"242","Austria",2002,26000,0.0441767068273093
"243","Poland",2002,9900,0.053191489361702
"244","Portugal",2002,16300,0.0251572327044025
"245","Romania",2002,6000,0.0909090909090908
"246","Slovenia",2002,16800,0.0632911392405062
"247","Slovakia",2002,11100,0.0776699029126213
"248","Finland",2002,23500,0.0352422907488987
"249","Sweden",2002,25000,0.0330578512396693
"250","United Kingdom",2002,24800,0.0376569037656904
"251","Iceland",2002,26500,0.0153256704980842
"252","Liechtenstein",2002,NA,NA
"253","Norway",2002,31600,-0.00628930817610063
"254","Switzerland",2002,29300,0.0353356890459364
"255","Former Yugoslav Republic of Macedonia",2002,5200,0.04
"256","Serbia",2002,NA,NA
"257","Turkey",2002,7400,0
"258","United States",2002,32500,0.0188087774294672
"259","Japan",2002,23200,0.0220264317180616
"260","Belgium",2003,25600,0
"261","Bulgaria",2003,6900,0.0615384615384615
"262","Czech Republic",2003,15800,0.0533333333333332
"263","Denmark",2003,25700,-0.0190839694656488
"264","Germany",2003,23900,0.0213675213675213
"265","Estonia",2003,11300,0.107843137254902
"266","Ireland",2003,29300,0.0390070921985815
"267","Greece",2003,19200,0.0434782608695652
