"","country","year","gdp","growth"
"613","Poland",2012,17100,0.0426829268292683
"614","Portugal",2012,19400,0.00518134715025909
"615","Romania",2012,13600,0.054263565891473
"616","Slovenia",2012,21400,0.00943396226415105
"617","Slovakia",2012,19400,0.0264550264550265
"618","Finland",2012,29400,0.0103092783505154
"619","Sweden",2012,32200,0.0254777070063694
"620","United Kingdom",2012,26600,0.00757575757575757
"621","Iceland",2012,29400,0.024390243902439
"622","Liechtenstein",2012,NA,NA
"623","Norway",2012,49700,0.0665236051502145
"624","Switzerland",2012,40300,0.0386597938144331
"625","Former Yugoslav Republic of Macedonia",2012,NA,NA
"626","Serbia",2012,9000,0.0112359550561798
"627","Turkey",2012,NA,NA
"628","United States",2012,39400,0.053475935828877
"629","Japan",2012,NA,NA
"630","Belgium",2013,30500,-0.00651465798045603
"631","Bulgaria",2013,12000,-0.00826446280991733
"632","Czech Republic",2013,20600,-0.00483091787439616
"633","Denmark",2013,32100,0
"634","Germany",2013,32000,0.0158730158730158
"635","Estonia",2013,18800,0.0273224043715847
"636","Ireland",2013,32500,-0.0121580547112462
"637","Greece",2013,NA,NA
"638","Spain",2013,24500,0.00409836065573765
"639","France",2013,27800,0.00361010830324915
"640","Croatia",2013,15600,0
"641","Italy",2013,25200,-0.015625
"642","Cyprus",2013,22100,-0.0555555555555556
"643","Latvia",2013,17300,0.0548780487804879
"644","Lithuania",2013,19100,0.0437158469945356
"645","Luxembourg",2013,67900,0.0119225037257824
"646","Hungary",2013,17200,0.0117647058823529
"647","Malta",2013,22700,0.0271493212669682
"648","Netherlands",2013,32600,0.00307692307692298
"649","Austria",2013,33200,0.00302114803625386
"650","Poland",2013,17500,0.0233918128654971
"651","Portugal",2013,19400,0
"652","Romania",2013,13900,0.0220588235294117
"653","Slovenia",2013,21300,-0.00467289719626163
"654","Slovakia",2013,19600,0.0103092783505154
"655","Finland",2013,28700,-0.0238095238095238
"656","Sweden",2013,32700,0.015527950310559
"657","United Kingdom",2013,27200,0.0225563909774436
"658","Iceland",2013,30000,0.0204081632653061
"659","Liechtenstein",2013,NA,NA
"660","Norway",2013,49200,-0.0100603621730382
"661","Switzerland",2013,40600,0.00744416873449127
"662","Former Yugoslav Republic of Macedonia",2013,NA,NA
"663","Serbia",2013,NA,NA
"664","Turkey",2013,NA,NA
"665","United States",2013,39800,0.0101522842639594
"666","Japan",2013,NA,NA
